actor,movie,year,rating
John Doe,Movie A,2010,8.5
Jane Smith,Movie B,2015,7.9
Michael Johnson,Movie C,2018,6.8
Emily Brown,Movie D,2012,9.0
Robert Lee,Movie E,2019,8.2
Sophia Kim,Movie F,2014,7.3
William Chen,Movie G,2016,8.7
Olivia Wong,Movie H,2020,7.5
James Rodriguez,Movie I,2011,8.9
Ava Martinez,Movie J,2017,7.1
Liam Ramirez,Movie K,2013,9.2
Isabella Garcia,Movie L,2022,6.5
Ethan Nguyen,Movie M,2009,8.0
Mia Ali,Movie N,2013,7.6
Alexander Wilson,Movie O,2016,8.4
Sofia Anderson,Movie P,2018,7.8
Daniel Thomas,Movie Q,2021,8.3
Camila Hernandez,Movie R,2014,7.2
Joseph Scott,Movie S,2015,8.1
Victoria Lopez,Movie T,2019,7.4